gene_id	gene_name	ensembl_gene_id	gene_biotype	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	contrast	source_accession	source_tissue	source_groups
SPIRE1	SPIRE1	ENSGALG00000013817	protein_coding	1270.45243679978	0.385939410506699	0.0685245001934271	5.63213754813667	1.77989633554682e-08	2.01087964640581e-07	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
PRKDC	PRKDC	ENSGALG00000042469	protein_coding	1270.18800209776	-0.0385219279366765	0.0637067913167032	-0.604675375113053	0.545394713113881	0.714543625114673	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
TJP2	TJP2	ENSGALG00000015109	protein_coding	1269.91104675709	0.0805903718697049	0.0676059132683462	1.19206098954421	0.233237331779661	0.407890755056004	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
RAF1	RAF1	ENSGALG00000004998	protein_coding	1269.6263636394	-0.0512850487564118	0.0524867571853918	-0.977104540394154	0.328517400183847	0.517626938094336	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
IFT172	IFT172	ENSGALG00000016509	protein_coding	1269.43975327441	-0.0229076557949701	0.0500574094486648	-0.457627672851559	0.647219958715044	0.791732033034626	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
IGFBP2	IGFBP2	ENSGALG00000011469	protein_coding	1269.42965691986	-0.175605296894351	0.0899186827348404	-1.95293449095768	0.0508273580939818	0.129820242249115	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
SH3GLB1	SH3GLB1	ENSGALG00000006284	protein_coding	1269.01975078374	-0.477092685924252	0.0631149825201762	-7.55910351035491	4.05856837361397e-14	8.55583465717775e-13	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
NAPG	NAPG	ENSGALG00000013932	protein_coding	1268.93827305523	-0.108827881508539	0.0642762912512876	-1.69312633616456	0.090431422293129	0.202915603050079	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
NDUFB10	NDUFB10	ENSGALG00000005465	protein_coding	1268.74565080441	0.0104861317297057	0.0525800985142697	0.199431572515215	0.841925165198715	0.91616272285914	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
CNIH1	CNIH1	ENSGALG00000035023	protein_coding	1268.49511123665	0.0757322671212148	0.0693910978065365	1.09138303781211	0.275104372961207	0.459296683886931	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
COL1A2	COL1A2	ENSGALG00000009641	protein_coding	1268.30154263842	2.02269826844673	0.352180942367506	5.74334958288577	9.28218187946915e-09	1.09473300477118e-07	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
MRPS5	MRPS5	ENSGALG00000008550	protein_coding	1267.67735181179	-0.0101695197441019	0.0613848972714894	-0.165668107240202	0.868418145910237	0.92950023637872	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
CHTF18	CHTF18	ENSGALG00000040157	protein_coding	1267.54455025158	0.050817259557457	0.0543319113095461	0.935311464894636	0.349627808539954	0.539255403204463	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
ENSGALG00000038528	ENSGALG00000038528	ENSGALG00000038528	protein_coding	1267.48367113011	0.113638420782967	0.0625540052115383	1.81664499976743	0.0692714883792616	0.165930263436258	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
TRIM9	TRIM9	ENSGALG00000012367	protein_coding	1267.20015311652	-0.52146262107428	0.0593611379164809	-8.78457926140096	1.56950878831685e-18	4.94508590253982e-17	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
CHMP2A	CHMP2A	ENSGALG00000049517	protein_coding	1267.05558993058	-0.218168992628203	0.051858450183704	-4.20700950096577	2.58772266145592e-05	0.000171288202714119	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
RSF1	RSF1	ENSGALG00000039068	protein_coding	1266.68099793197	-0.0572158586769431	0.0774365050901261	-0.738874496083614	0.459983210316026	0.643917470211422	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
RPS6KA1	RPS6KA1	ENSGALG00000037136	protein_coding	1266.57556935349	-0.249084763662692	0.0588125243090181	-4.23523333829251	2.28314499217505e-05	0.000152632308841117	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
FAM98B	FAM98B	ENSGALG00000009744	protein_coding	1266.23854522629	0.0830100211849955	0.0657227082339056	1.26303409301949	0.20657692764164	0.373619342242754	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
DESI1	DESI1	ENSGALG00000047248	protein_coding	1266.03384045569	-0.292923890837596	0.0670639697361859	-4.36782808995487	1.25488203242652e-05	8.8215730471224e-05	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
ZBTB18	ZBTB18	ENSGALG00000010705	protein_coding	1265.9373522748	-0.352652959847439	0.0776027364317926	-4.5443366569605	5.51085215869318e-06	4.16055036461892e-05	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
SACS	SACS	ENSGALG00000017120	protein_coding	1265.84664685045	-0.160588906407751	0.0742264369543836	-2.16350013549003	0.0305027333224938	0.0857505572788097	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
